assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame
16,7,22, ,2,45,9,Parayko,1,6,8476892,1,25,0.55555,D,1,1,20242025,1,2,0.10465,R,86,Colton Parayko,STL,1465.5333
7,6,11,0.4301,0,46,7,Frederic,0,42,8479365,-9,14,0.30434,C,1,3,20242025,0,0,0.10937,L,64,Trent Frederic,BOS,852.326
0,0,0, ,0,4,0,Bjornfot,0,0,8481600,-1,0,0.0,D,0,0,20242025,0,0,0.0,L,3,Tobias Bjornfot,FLA,837.25
6,10,16,0.54761,2,46,10,Cotter,0,39,8481032,-4,16,0.34782,C,0,0,20242025,0,0,0.17857,L,56,Paul Cotter,NJD,810.2391
11,2,11, ,0,40,2,Spence,0,14,8481606,10,13,0.325,D,0,2,20242025,0,0,0.04761,R,42,Jordan Spence,LAK,1047.175
14,3,14,0.46139,2,42,6,Compher,0,10,8477456,2,20,0.47619,L,3,6,20242025,0,0,0.11111,R,54,J.T. Compher,DET,996.6666
15,5,17, ,1,44,8,Montour,0,35,8477986,-2,23,0.52272,D,3,6,20242025,0,0,0.06349,R,126,Brandon Montour,SEA,1421.1363
12,9,20,0.48973,1,44,10,Cozens,0,45,8481528,-16,22,0.5,C,1,2,20242025,0,0,0.10416,R,96,Dylan Cozens,BUF,1040.25
0,0,0,1.0,0,1,0,Gatcomb,0,0,8483553,0,0,0.0,C,0,0,20242025,0,0, ,R,0,Marc Gatcomb,NYI,447.0
1,0,1,1.0,0,7,0,Hinostroza,0,4,8476994,3,1,0.14285,C,0,0,20242025,0,0,0.0,R,7,Vinnie Hinostroza,NSH,733.5714
0,0,0, ,0,11,0,Reilly,0,2,8476422,1,0,0.0,D,0,0,20242025,0,0,0.0,L,15,Mike Reilly,NYI,945.0909
3,3,6, ,0,37,3,Stecher,0,23,8479442,1,6,0.16216,D,0,0,20242025,0,0,0.08571,R,35,Troy Stecher,EDM,844.6486
13,9,13,0.0,1,30,11,Johnson,0,6,8482660,-6,24,0.8,C,1,9,20242025,1,2,0.19298,L,57,Kent Johnson,CBJ,1045.4333
6,1,7, ,0,31,1,Stanley,0,59,8479378,5,7,0.2258,D,0,0,20242025,0,0,0.05,L,20,Logan Stanley,WPG,972.5483
5,2,6,0.48214,0,25,3,Danforth,0,8,8479941,-7,8,0.32,R,0,1,20242025,1,1,0.06122,R,49,Justin Danforth,CBJ,920.44
5,5,9,0.33333,1,17,6,Eberle,1,6,8474586,3,11,0.64705,R,1,2,20242025,0,0,0.20689,R,29,Jordan Eberle,SEA,950.5294
8,1,8, ,0,27,2,Moser,0,12,8482655,13,10,0.37037,D,0,1,20242025,1,1,0.07142,L,28,J.J. Moser,TBL,1193.6666
5,3,8,0.50248,0,35,3,Jankowski,0,10,8476873,0,8,0.22857,L,0,0,20242025,0,0,0.07894,L,38,Mark Jankowski,NSH,782.7714
0,0,0, ,0,1,0,Viel,0,7,8479705,0,0,0.0,L,0,0,20242025,0,0, ,L,0,Jeffrey Viel,BOS,509.0
7,3,9,0.42666,1,38,4,Bourque,0,4,8482145,-1,11,0.28947,C,1,2,20242025,0,0,0.1,R,40,Mavrik Bourque,DAL,703.9473
7,2,9, ,0,40,2,Brodie,0,12,8474673,-18,9,0.225,D,0,0,20242025,0,0,0.125,L,16,TJ Brodie,CHI,954.225
0,0,0,1.0,0,1,0,Polin,0,0,8484255,0,0,0.0,R,0,0,20242025,0,0,0.0,R,1,Jason Polin,COL,244.0
5,1,5, ,1,34,1,Petry,0,12,8473507,-7,6,0.17647,D,0,1,20242025,0,0,0.04347,R,23,Jeff Petry,DET,1151.0
16,11,24,0.36363,2,45,14,Meier,0,50,8478414,12,30,0.66666,R,3,6,20242025,0,0,0.10526,L,133,Timo Meier,NJD,1041.0444
2,1,3, ,1,30,1,Jokiharju,0,10,8480035,4,3,0.1,D,0,0,20242025,0,0,0.02631,R,38,Henri Jokiharju,BUF,1052.2
1,0,1,0.52941,0,4,0,Philp,0,0,8481491,1,1,0.25,C,0,0,20242025,0,0,0.0,R,5,Noah Philp,EDM,590.0
0,0,0, ,0,2,0,Foote,0,0,8481518,-1,0,0.0,L,0,0,20242025,0,0, ,L,0,Nolan Foote,NJD,646.0
7,8,15,0.22727,0,44,8,Tanev,0,8,8479293,-12,15,0.3409,L,0,0,20242025,0,0,0.1194,L,67,Brandon Tanev,SEA,863.1136
0,0,0, ,0,6,0,Coghlan,0,4,8479639,1,0,0.0,D,0,0,20242025,0,0,0.0,R,9,Dylan Coghlan,WPG,921.1666
12,1,13, ,0,38,1,Murphy,0,38,8476473,-4,13,0.3421,D,0,0,20242025,0,0,0.02222,R,45,Connor Murphy,CHI,1232.6842
2,2,4,0.78571,0,24,2,Joshua,0,20,8478057,-6,4,0.16666,C,0,0,20242025,0,0,0.2,L,10,Dakota Joshua,VAN,740.875
12,5,13,0.0,0,42,6,Tarasenko,0,4,8475765,-9,18,0.42857,R,1,5,20242025,0,0,0.08695,L,69,Vladimir Tarasenko,DET,876.7857
0,2,2, ,0,25,2,Barron,0,10,8482111,-4,2,0.08,D,0,0,20242025,0,0,0.08333,R,24,Justin Barron,MTL,901.0
9,5,12,0.37931,0,29,5,Arvidsson,0,12,8478042,10,14,0.48275,L,0,2,20242025,0,0,0.06944,R,72,Viktor Arvidsson,EDM,903.2413
8,1,8,0.5,0,33,1,Glass,0,6,8479996,-11,9,0.27272,C,0,1,20242025,0,0,0.0238,R,42,Cody Glass,PIT,774.8787
2,0,2, ,0,18,0,Vaakanainen,0,8,8480001,-1,2,0.11111,D,0,0,20242025,0,0,0.0,L,9,Urho Vaakanainen,ANA,872.1666
4,0,4, ,0,43,0,Benoit,0,28,8481122,2,4,0.09302,D,0,0,20242025,0,0,0.0,L,29,Simon Benoit,TOR,1005.3023
2,1,3, ,0,18,1,Zub,0,10,8482245,-4,3,0.16666,D,0,0,20242025,0,0,0.04761,R,21,Artem Zub,OTT,1158.6111
13,2,13, ,0,43,2,Pulock,0,8,8477506,3,15,0.34883,D,0,1,20242025,0,1,0.03174,R,63,Ryan Pulock,NYI,1343.5581
