blockedShots,blockedShotsPer60,emptyNetAssists,emptyNetGoals,emptyNetPoints,firstGoals,gamesPlayed,giveaways,giveawaysPer60,hits,hitsPer60,lastName,missedShotCrossbar,missedShotGoalpost,missedShotOverNet,missedShotShort,missedShotWideOfNet,missedShots,otGoals,playerId,positionCode,seasonId,shootsCatches,shotAttemptsBlocked,skaterFullName,takeaways,takeawaysPer60,teamAbbrevs,timeOnIcePerGame
32,3.54,0.0,1,1.0,0,43,19,2.1,93,10.3,Cizikas,0,2,2,0,19,23,0,8475231,C,20242025,L,15,Casey Cizikas,12,1.33,NYI,755.37
11,2.41,0.0,0,0.0,0,26,23,5.04,82,17.97,Kostin,0,0,0,1,8,9,0,8480011,C,20242025,L,10,Klim Kostin,2,0.43,SJS,631.65
21,2.11,0.0,0,0.0,0,31,19,1.91,54,5.43,Eriksson Ek,1,2,1,0,29,33,0,8478493,C,20242025,L,20,Joel Eriksson Ek,9,0.9,MIN,1154.7
17,1.35,0.0,0,0.0,5,43,35,2.79,15,1.19,DeBrincat,3,4,6,3,36,52,0,8479337,R,20242025,R,45,Alex DeBrincat,15,1.19,DET,1047.69
106,6.07,0.0,0,0.0,2,43,60,3.43,18,1.03,Andersson,0,1,2,4,43,50,0,8478397,D,20242025,R,70,Rasmus Andersson,23,1.31,CGY,1461.06
26,1.89,0.0,1,1.0,2,43,22,1.6,14,1.02,Nugent-Hopkins,2,3,1,1,32,39,1,8476454,C,20242025,L,33,Ryan Nugent-Hopkins,17,1.24,EDM,1145.88
110,6.0,2.0,1,3.0,1,45,61,3.32,68,3.71,Parayko,0,2,4,1,30,38,1,8476892,D,20242025,R,47,Colton Parayko,19,1.03,STL,1465.53
25,2.29,0.0,0,0.0,1,46,26,2.38,130,11.93,Frederic,0,2,1,0,27,30,0,8479365,C,20242025,L,43,Trent Frederic,7,0.64,BOS,852.32
30,2.58,0.0,0,0.0,2,42,24,2.06,12,1.03,Compher,1,1,1,0,17,20,0,8477456,L,20242025,R,18,J.T. Compher,11,0.94,DET,996.66
50,2.87,0.0,0,0.0,1,44,52,2.99,48,2.76,Montour,4,5,2,5,62,78,0,8477986,D,20242025,R,92,Brandon Montour,14,0.8,SEA,1421.13
29,2.28,1.0,0,1.0,1,44,40,3.14,89,7.0,Cozens,1,2,4,1,26,34,0,8481528,C,20242025,R,44,Dylan Cozens,10,0.78,BUF,1040.25
2,2.14,,0,,0,4,1,1.07,4,4.29,Bjornfot,0,0,0,0,3,3,0,8481600,D,20242025,L,4,Tobias Bjornfot,0,0.0,FLA,837.25
46,3.95,0.0,0,0.0,2,40,45,3.86,37,3.17,Spence,0,4,2,2,24,32,0,8481606,D,20242025,R,40,Jordan Spence,6,0.51,LAK,1047.17
20,1.93,0.0,1,1.0,1,46,25,2.41,154,14.87,Cotter,2,0,4,0,28,34,0,8481032,C,20242025,L,32,Paul Cotter,10,0.96,NJD,810.23
1,8.05,,0,,0,1,0,0.0,4,32.21,Gatcomb,0,0,0,0,1,1,0,8483553,C,20242025,R,0,Marc Gatcomb,1,8.05,NYI,447.0
