assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame
5,5,9,0.33333,1,17,6,Eberle,1,6,8474586,3,11,0.64705,R,1,2,20242025,0,0,0.20689,R,29,Jordan Eberle,SEA,950.5294
8,1,8, ,0,27,2,Moser,0,12,8482655,13,10,0.37037,D,0,1,20242025,1,1,0.07142,L,28,J.J. Moser,TBL,1193.6666
5,3,8,0.5,0,37,3,Jankowski,0,15,8476873,0,8,0.21621,L,0,0,20242025,0,0,0.07894,L,38,Mark Jankowski,NSH,764.4324
0,0,0, ,0,1,0,Viel,0,7,8479705,0,0,0.0,L,0,0,20242025,0,0, ,L,0,Jeffrey Viel,BOS,509.0
7,4,10,0.45664,1,42,5,Bourque,0,4,8482145,-1,12,0.28571,C,1,2,20242025,0,0,0.11111,R,45,Mavrik Bourque,DAL,717.5952
7,2,9, ,0,43,2,Brodie,0,14,8474673,-18,9,0.2093,D,0,0,20242025,0,0,0.11764,L,17,TJ Brodie,CHI,948.7441
0,0,0,1.0,0,2,0,Polin,0,0,8484255,0,0,0.0,R,0,0,20242025,0,0,0.0,R,3,Jason Polin,COL,311.0
5,1,5, ,1,34,1,Petry,0,12,8473507,-7,6,0.17647,D,0,1,20242025,0,0,0.04347,R,23,Jeff Petry,DET,1151.0
19,11,26,0.30769,2,49,14,Meier,0,50,8478414,11,33,0.67346,R,3,7,20242025,0,0,0.1,L,140,Timo Meier,NJD,1043.1224
2,1,3, ,1,32,1,Jokiharju,0,12,8480035,3,3,0.09375,D,0,0,20242025,0,0,0.02439,R,41,Henri Jokiharju,BUF,1032.5625
1,0,1,0.4468,0,7,0,Philp,0,2,8481491,2,1,0.14285,C,0,0,20242025,0,0,0.0,R,6,Noah Philp,EDM,536.2857
0,0,0, ,0,2,0,Foote,0,0,8481518,-1,0,0.0,L,0,0,20242025,0,0, ,L,0,Nolan Foote,NJD,646.0
7,8,15,0.22727,0,46,8,Tanev,0,8,8479293,-10,15,0.32608,L,0,0,20242025,0,0,0.11764,L,68,Brandon Tanev,SEA,861.913
0,0,0, ,0,6,0,Coghlan,0,4,8479639,1,0,0.0,D,0,0,20242025,0,0,0.0,R,9,Dylan Coghlan,WPG,921.1666
12,1,13, ,0,38,1,Murphy,0,38,8476473,-4,13,0.3421,D,0,0,20242025,0,0,0.02222,R,45,Connor Murphy,CHI,1232.6842
2,2,4,0.78571,0,24,2,Joshua,0,20,8478057,-6,4,0.16666,C,0,0,20242025,0,0,0.2,L,10,Dakota Joshua,VAN,740.875
13,5,13,0.0,0,46,6,Tarasenko,0,4,8475765,-10,19,0.41304,R,1,6,20242025,0,0,0.08219,L,73,Vladimir Tarasenko,DET,880.4347
0,3,3, ,0,28,3,Barron,0,10,8482111,-5,3,0.10714,D,0,0,20242025,0,0,0.0909,R,33,Justin Barron,MTL,929.0
9,6,13,0.37931,0,32,6,Arvidsson,0,12,8478042,9,15,0.46875,L,0,2,20242025,0,0,0.07594,R,79,Viktor Arvidsson,EDM,900.1562
9,2,10,0.51456,1,36,3,Glass,0,6,8479996,-9,12,0.33333,C,1,2,20242025,0,0,0.06122,R,49,Cody Glass,PIT,774.8888
4,0,4, ,0,22,0,Vaakanainen,0,10,8480001,1,4,0.18181,D,0,0,20242025,0,0,0.0,L,11,Urho Vaakanainen,ANA,883.7272
4,0,4, ,0,45,0,Benoit,0,28,8481122,3,4,0.08888,D,0,0,20242025,0,0,0.0,L,30,Simon Benoit,TOR,998.7555
2,2,4, ,1,22,2,Zub,0,10,8482245,-7,4,0.18181,D,0,0,20242025,0,0,0.06896,R,29,Artem Zub,OTT,1185.1818
13,3,14, ,0,46,3,Pulock,0,10,8477506,6,16,0.34782,D,0,1,20242025,0,1,0.04545,R,66,Ryan Pulock,NYI,1343.9347
9,5,14, ,0,44,5,Anderson,0,18,8479998,8,14,0.31818,D,0,0,20242025,0,0,0.09615,L,52,Mikey Anderson,LAK,1386.8636
29,8,32,0.50289,3,47,9,Dubois,1,36,8479400,17,38,0.80851,L,1,6,20242025,0,0,0.12,L,75,Pierre-Luc Dubois,WSH,1033.5319
10,1,10, ,0,47,1,Fehervary,0,17,8480796,8,11,0.23404,D,0,0,20242025,0,1,0.02439,L,41,Martin Fehervary,WSH,1159.9574
