blockedShots,blockedShotsPer60,emptyNetAssists,emptyNetGoals,emptyNetPoints,firstGoals,gamesPlayed,giveaways,giveawaysPer60,hits,hitsPer60,lastName,missedShotCrossbar,missedShotGoalpost,missedShotOverNet,missedShotShort,missedShotWideOfNet,missedShots,otGoals,playerId,positionCode,seasonId,shootsCatches,shotAttemptsBlocked,skaterFullName,takeaways,takeawaysPer60,teamAbbrevs,timeOnIcePerGame
0,0.0,,0,,0,1,0,0.0,2,8.63,Soderblom,0,0,0,0,1,1,0,8481725,L,20242025,L,0,Elmer Soderblom,0,0.0,DET,834.0
1,2.84,,0,,0,1,0,0.0,1,2.84,Konecny,1,0,0,0,1,2,0,8478439,R,20242025,R,4,Travis Konecny,0,0.0,PHI,1266.0
1,3.12,,0,,0,1,0,0.0,2,6.24,Johansson,0,0,0,0,0,0,0,8481607,D,20242025,L,2,Albert Johansson,0,0.0,DET,1153.0
0,0.0,0.0,0,0.0,0,1,1,3.12,1,3.12,Larkin,0,0,0,0,2,2,0,8477946,C,20242025,L,3,Dylan Larkin,0,0.0,DET,1153.0
1,3.79,,0,,0,1,1,3.79,1,3.79,Kasper,0,0,0,0,1,1,0,8483464,C,20242025,L,0,Marco Kasper,0,0.0,DET,948.0
0,0.0,0.0,0,0.0,0,1,1,3.81,0,0.0,Michkov,0,0,0,0,0,0,0,8484387,R,20242025,L,0,Matvei Michkov,0,0.0,PHI,944.0
1,3.38,0.0,0,0.0,0,1,2,6.77,0,0.0,Raymond,0,0,0,0,0,0,0,8482078,L,20242025,R,1,Lucas Raymond,0,0.0,DET,1063.0
4,12.4,,0,,0,1,2,6.2,0,0.0,Seeler,0,0,0,0,1,1,0,8476372,D,20242025,L,0,Nick Seeler,0,0.0,PHI,1161.0
0,0.0,,0,,0,1,1,3.9,2,7.8,Fischer,0,0,0,0,0,0,0,8478432,R,20242025,R,2,Christian Fischer,0,0.0,DET,923.0
0,0.0,,0,,0,1,2,8.74,0,0.0,Berggren,0,0,0,0,1,1,0,8481013,R,20242025,L,0,Jonatan Berggren,0,0.0,DET,823.0
2,8.08,,0,,0,1,0,0.0,0,0.0,Tarasenko,0,0,1,0,0,1,0,8475765,R,20242025,L,1,Vladimir Tarasenko,0,0.0,DET,891.0
0,0.0,,0,,0,1,1,4.45,0,0.0,Svechkov,0,0,1,0,3,4,0,8482768,C,20242025,L,0,Fedor Svechkov,0,0.0,NSH,808.0
0,0.0,,0,,0,1,1,5.17,1,5.17,Kovalenko,0,0,0,0,2,2,0,8481042,R,20242025,L,1,Nikolai Kovalenko,0,0.0,"COL,SJS",696.0
1,4.15,,0,,0,1,1,4.15,4,16.6,Smith,0,0,0,0,2,2,0,8482062,R,20242025,L,0,Cole Smith,0,0.0,NSH,867.0
0,0.0,0.0,0,0.0,0,1,1,4.04,0,0.0,Smith,0,0,0,0,1,1,0,8484227,C,20242025,R,0,Will Smith,1,4.04,SJS,891.0
1,3.91,,0,,0,1,0,0.0,2,7.83,Nyquist,0,0,0,0,0,0,0,8474679,R,20242025,L,1,Gustav Nyquist,0,0.0,NSH,919.0
0,0.0,,0,,0,1,0,0.0,1,6.94,Hinostroza,0,0,0,0,0,0,0,8476994,C,20242025,R,0,Vinnie Hinostroza,1,6.94,NSH,518.0
1,3.12,,0,,0,1,0,0.0,2,6.25,Liljegren,0,0,1,0,0,1,0,8480043,D,20242025,R,0,Timothy Liljegren,1,3.12,"TOR,SJS",1151.0
0,0.0,0.0,0,0.0,0,1,1,4.45,0,0.0,Novak,0,0,0,0,0,0,0,8478438,C,20242025,L,0,Tommy Novak,0,0.0,NSH,808.0
0,0.0,,0,,0,1,0,0.0,3,27.97,Grundstrom,0,0,0,0,0,0,0,8479336,R,20242025,L,1,Carl Grundstrom,0,0.0,SJS,386.0
0,0.0,,0,,0,1,2,6.69,0,0.0,O'Reilly,0,0,0,0,0,0,0,8475158,C,20242025,L,0,Ryan O'Reilly,0,0.0,NSH,1075.0
