blockedShots,blockedShotsPer60,emptyNetAssists,emptyNetGoals,emptyNetPoints,firstGoals,gamesPlayed,giveaways,giveawaysPer60,hits,hitsPer60,lastName,missedShotCrossbar,missedShotGoalpost,missedShotOverNet,missedShotShort,missedShotWideOfNet,missedShots,otGoals,playerId,positionCode,seasonId,shootsCatches,shotAttemptsBlocked,skaterFullName,takeaways,takeawaysPer60,teamAbbrevs,timeOnIcePerGame
50,5.65,0.0,0,0.0,0,33,38,4.29,40,4.52,Stanley,0,0,0,1,16,18,0,8479378,D,20242025,L,30,Logan Stanley,6,0.67,WPG,965.03
14,3.11,1.0,0,1.0,0,17,14,3.11,0,0.0,Eberle,0,1,1,3,9,14,1,8474586,R,20242025,R,14,Jordan Eberle,7,1.55,SEA,950.52
39,4.35,0.0,0,0.0,0,27,30,3.35,19,2.12,Moser,0,1,1,0,13,15,0,8482655,D,20242025,L,34,J.J. Moser,14,1.56,TBL,1193.66
17,2.16,0.0,0,0.0,0,36,15,1.91,23,2.93,Jankowski,0,1,2,0,18,21,0,8476873,L,20242025,L,22,Mark Jankowski,3,0.38,NSH,783.55
0,0.0, ,0, ,0,1,2,14.14,3,21.21,Viel,0,0,0,0,0,0,0,8479705,L,20242025,L,0,Jeffrey Viel,0,0.0,BOS,509.0
18,2.28,0.0,0,0.0,1,40,22,2.79,18,2.28,Bourque,1,2,2,0,17,22,0,8482145,C,20242025,R,22,Mavrik Bourque,8,1.01,DAL,708.4
48,4.33,0.0,0,0.0,0,42,31,2.79,14,1.26,Brodie,0,0,0,0,19,19,0,8474673,D,20242025,L,24,TJ Brodie,7,0.63,CHI,949.14
1,5.78, ,0, ,0,2,0,0.0,1,5.78,Polin,0,0,0,0,0,0,0,8484255,R,20242025,R,3,Jason Polin,0,0.0,COL,311.0
56,5.15,0.0,0,0.0,0,34,40,3.67,39,3.58,Petry,1,1,0,2,15,20,0,8473507,D,20242025,R,41,Jeff Petry,10,0.91,DET,1151.0
39,2.86,0.0,1,1.0,0,47,36,2.64,82,6.01,Meier,4,4,3,3,72,87,0,8478414,R,20242025,L,78,Timo Meier,10,0.73,NJD,1043.95
30,3.32,0.0,0,0.0,0,31,29,3.21,29,3.21,Jokiharju,1,0,1,0,13,15,0,8480035,D,20242025,R,38,Henri Jokiharju,8,0.88,BUF,1046.41
1,1.27,0.0,0,0.0,0,5,2,2.55,2,2.55,Philp,0,0,0,0,1,1,0,8481491,C,20242025,R,2,Noah Philp,0,0.0,EDM,564.4
0,0.0, ,0, ,0,2,1,2.78,2,5.57,Foote,0,0,2,0,2,4,0,8481518,L,20242025,L,1,Nolan Foote,0,0.0,NJD,646.0
75,7.1,2.0,2,4.0,0,44,31,2.93,96,9.1,Tanev,0,3,1,1,31,36,0,8479293,L,20242025,L,11,Brandon Tanev,15,1.42,SEA,863.11
7,4.55, ,0, ,0,6,8,5.21,2,1.3,Coghlan,0,0,2,0,7,9,0,8479639,D,20242025,R,5,Dylan Coghlan,2,1.3,WPG,921.16
93,7.14,0.0,1,1.0,0,38,35,2.68,70,5.37,Murphy,0,1,1,0,16,18,0,8476473,D,20242025,R,36,Connor Murphy,11,0.84,CHI,1232.68
11,2.22,0.0,0,0.0,1,24,11,2.22,83,16.8,Joshua,0,0,1,1,7,9,0,8478057,C,20242025,L,9,Dakota Joshua,7,1.41,VAN,740.87
17,1.57,0.0,0,0.0,1,44,31,2.87,38,3.52,Tarasenko,0,5,3,2,25,35,0,8475765,R,20242025,L,53,Vladimir Tarasenko,9,0.83,DET,881.18
34,5.15, ,0, ,1,26,21,3.18,28,4.24,Barron,0,0,0,1,6,7,0,8482111,D,20242025,R,22,Justin Barron,4,0.6,MTL,913.38
9,1.2,1.0,1,2.0,2,30,28,3.74,8,1.06,Arvidsson,1,2,1,2,25,31,0,8478042,L,20242025,R,35,Viktor Arvidsson,6,0.8,EDM,897.73
22,2.92,0.0,0,0.0,0,35,16,2.12,31,4.12,Glass,0,1,0,1,19,22,0,8479996,C,20242025,R,26,Cody Glass,7,0.93,PIT,773.05
23,4.7,0.0,0,0.0,0,20,13,2.65,8,1.63,Vaakanainen,0,0,1,0,9,10,0,8480001,D,20242025,L,16,Urho Vaakanainen,2,0.4,ANA,880.8
64,5.32,0.0,0,0.0,0,43,33,2.74,120,9.99,Benoit,1,1,1,3,13,19,0,8481122,D,20242025,L,18,Simon Benoit,9,0.74,TOR,1005.3
39,5.99,0.0,1,1.0,0,20,17,2.61,26,3.99,Zub,0,0,1,0,9,10,0,8482245,D,20242025,R,26,Artem Zub,6,0.92,OTT,1171.8
100,5.96,1.0,0,1.0,0,45,56,3.34,57,3.4,Pulock,0,1,1,1,28,31,0,8477506,D,20242025,R,50,Ryan Pulock,20,1.19,NYI,1340.4
8,2.65,0.0,0,0.0,0,13,7,2.32,16,5.31,Mantha,0,0,0,0,13,13,0,8477511,R,20242025,L,7,Anthony Mantha,3,0.99,CGY,834.15
66,5.2,1.0,0,1.0,0,45,52,4.09,51,4.02,Lyubushkin,0,1,1,2,18,22,0,8480950,D,20242025,R,31,Ilya Lyubushkin,8,0.63,DAL,1014.82
29,2.31,1.0,2,3.0,1,39,37,2.95,59,4.71,Jarvis,1,6,5,3,47,62,0,8482093,C,20242025,R,39,Seth Jarvis,15,1.19,CAR,1156.05
44,6.12,0.0,0,0.0,0,25,27,3.75,31,4.31,Fleury,0,0,1,0,13,14,0,8477938,D,20242025,L,33,Haydn Fleury,2,0.27,WPG,1034.4
27,3.57,0.0,0,0.0,0,34,22,2.91,50,6.62,Mahura,1,0,1,0,12,14,0,8479372,D,20242025,L,27,Joshua Mahura,7,0.92,SEA,799.55
27,3.12,0.0,1,1.0,2,46,30,3.47,104,12.04,Kuraly,1,0,1,1,25,28,0,8476374,C,20242025,L,25,Sean Kuraly,6,0.69,CBJ,676.0
16,2.0,0.0,0,0.0,1,39,18,2.25,16,2.0,Reichel,0,0,0,0,16,16,0,8482117,L,20242025,L,14,Lukas Reichel,8,1.0,CHI,736.17
3,7.68, ,0, ,0,3,2,5.12,1,2.56,Boyd,0,0,0,0,1,1,0,8476329,C,20242025,R,2,Travis Boyd,0,0.0,MIN,468.33
73,4.52,0.0,0,0.0,0,45,54,3.34,66,4.09,Bahl,0,1,1,1,33,36,0,8480860,D,20242025,L,55,Kevin Bahl,14,0.86,CGY,1290.71
58,5.4,0.0,0,0.0,0,37,37,3.44,38,3.53,Hamonic,0,1,0,0,26,27,0,8474612,D,20242025,R,45,Travis Hamonic,13,1.21,OTT,1044.72
18,1.76,0.0,0,0.0,5,45,30,2.93,73,7.14,Brazeau,1,3,0,1,25,30,0,8479638,R,20242025,R,19,Justin Brazeau,9,0.88,BOS,817.62
32,3.15,0.0,0,0.0,0,43,35,3.45,90,8.87,Goodrow,0,2,0,1,18,21,0,8476624,C,20242025,L,16,Barclay Goodrow,21,2.07,SJS,848.74
14,1.63,0.0,0,0.0,1,41,24,2.8,21,2.45,Skinner,1,4,2,2,21,30,0,8475784,L,20242025,L,40,Jeff Skinner,9,1.05,EDM,751.04
25,2.12,2.0,1,3.0,2,45,35,2.97,63,5.36,Evans,0,2,2,0,26,31,0,8478133,C,20242025,R,26,Jake Evans,7,0.59,MTL,939.62
63,3.54,2.0,1,3.0,1,45,47,2.64,27,1.51,Fox,1,1,4,0,31,39,0,8479323,D,20242025,R,84,Adam Fox,28,1.57,NYR,1422.44
90,5.13,0.0,0,0.0,0,48,48,2.73,49,2.79,Ceci,0,1,0,0,15,16,0,8476879,D,20242025,R,47,Cody Ceci,15,0.85,SJS,1315.2
71,4.36,1.0,2,3.0,1,42,35,2.14,63,3.86,Anderson,0,0,1,0,24,25,0,8479998,D,20242025,L,62,Mikey Anderson,14,0.85,LAK,1395.78
37,2.79,3.0,1,4.0,3,46,34,2.56,40,3.02,Dubois,1,6,6,1,42,56,1,8479400,L,20242025,L,38,Pierre-Luc Dubois,5,0.37,WSH,1035.78
94,6.35,2.0,0,2.0,0,46,40,2.7,90,6.08,Fehervary,0,0,1,1,25,27,0,8480796,D,20242025,L,50,Martin Fehervary,4,0.27,WSH,1157.04
64,3.74,1.0,0,1.0,1,45,57,3.33,32,1.87,Ekholm,1,3,5,1,42,52,1,8475218,D,20242025,L,89,Mattias Ekholm,22,1.28,EDM,1366.35
43,3.83,0.0,0,0.0,1,33,54,4.82,27,2.41,Broberg,2,0,2,2,27,33,0,8481598,D,20242025,L,44,Philip Broberg,12,1.07,STL,1221.72
10,1.44,0.0,1,1.0,2,36,18,2.59,116,16.74,L'Heureux,1,2,3,0,29,35,0,8482742,L,20242025,L,15,Zachary L'Heureux,3,0.43,NSH,692.77
32,5.23,0.0,0,0.0,0,26,18,2.94,4,0.65,Bryson,0,1,0,1,5,7,0,8480196,D,20242025,L,14,Jacob Bryson,3,0.49,BUF,846.69
47,3.28,0.0,0,0.0,0,47,26,1.81,21,1.46,Wennberg,0,2,0,0,25,27,2,8477505,C,20242025,L,36,Alexander Wennberg,21,1.46,SJS,1096.1
21,2.71,0.0,0,0.0,1,36,17,2.19,63,8.13,Bjugstad,0,2,0,0,25,27,0,8475760,C,20242025,R,26,Nick Bjugstad,4,0.51,UTA,774.16
13,0.95,0.0,0,0.0,2,43,44,3.22,7,0.51,Keller,3,4,7,1,40,57,1,8479343,R,20242025,L,59,Clayton Keller,19,1.39,UTA,1142.41
7,0.83,0.0,1,1.0,1,39,18,2.15,15,1.79,Evangelista,0,2,5,0,14,21,0,8482146,R,20242025,R,20,Luke Evangelista,10,1.19,NSH,770.56
20,4.69,0.0,0,0.0,0,17,13,3.05,27,6.33,Korczak,0,0,0,0,2,2,0,8481527,D,20242025,R,16,Kaedan Korczak,4,0.93,VGK,901.94
